City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,nola,40.922,14.5329,55.26,83,9,2.1,IT,1701042209
271,klaksvik,62.2266,-6.589,38.32,70,65,20.83,FO,1701042209
272,cabo san lucas,22.8909,-109.9124,80.51,66,100,3.44,MX,1701042209
273,karaton,-6.3424,106.1045,76.98,86,100,0.09,ID,1701042209
274,bardai,11.65,7.2333,71.51,77,82,5.59,NG,1701042209
275,kosum phisai,16.2486,103.0674,73.81,65,74,7.63,TH,1701042210
276,pimentel,-6.8367,-79.9342,71.89,68,0,24.16,PE,1701042210
277,charata,-27.2144,-61.188,73.94,95,100,9.37,AR,1701042210
278,opladen,51.0667,7.0167,42.69,81,100,7.09,DE,1701042210
279,khandyga,62.6667,135.6,-24.99,95,100,1.25,RU,1701042121
280,bikenibeu village,1.3673,173.1241,85.96,79,75,4.61,KI,1701042210
281,fale old settlement,-9.3852,-171.2468,85.57,76,18,16.73,TK,1701042210
282,dubbo,-32.25,148.6167,78.93,47,2,6.91,AU,1701042017
283,murzuq,25.9155,13.9184,55.98,44,0,7.2,LY,1701042211
284,luderitz,-26.6481,15.1594,69.4,50,0,18.34,,1701042211
285,terbanggi besar,-4.8667,105.2333,77.63,80,89,1.95,ID,1701042211
286,pauini,-7.7136,-66.9764,73.18,89,99,2.39,BR,1701042211
287,mount gambier,-37.8333,140.7667,57.45,64,100,8.97,AU,1701042211
288,emerald,-23.5333,148.1667,81.46,63,100,9.53,AU,1701042211
289,muisne,0.6,-80.0333,77.81,85,80,6.62,EC,1701042212
290,usinsk,65.9939,57.5281,-10.26,100,67,4.36,RU,1701042212
291,plastun,44.7561,136.2939,18.16,58,100,4.16,RU,1701042212
292,tadine,-21.55,167.8833,76.8,59,74,9.73,NC,1701042212
293,beau vallon,-20.4189,57.6953,75.43,88,75,3.44,MU,1701042212
294,prineville,44.2999,-120.8345,45.03,49,2,4.0,US,1701042212
295,parkway,38.496,-121.4588,62.76,31,0,8.05,US,1701042212
296,lisala,2.15,21.5167,68.72,92,82,1.79,CD,1701042213
297,batibo,5.8358,9.8553,64.74,92,55,1.97,CM,1701042213
298,daru,-9.0763,143.2092,88.74,57,89,6.85,PG,1701042213
299,alice springs,-23.7,133.8833,78.35,50,15,1.14,AU,1701042213
300,san agustin de valle fertil,-30.6335,-67.4682,80.19,38,3,15.21,AR,1701042213
301,ndioum,16.5129,-14.6471,76.89,15,0,10.58,SN,1701042213
302,pershore,52.1116,-2.0759,49.46,96,100,5.01,GB,1701042213
303,xilin hot,43.9667,116.0333,7.93,94,99,5.55,CN,1701042214
304,nueva esperanza,15.2667,-87.6,83.82,97,50,4.23,HN,1701042197
305,san sebastian de la gomera,28.0916,-17.1133,70.16,68,100,4.61,ES,1701042214
306,bamboo flat,11.7,92.7167,82.49,83,40,5.75,IN,1701042214
307,saint-joseph,-21.3667,55.6167,70.47,73,16,4.47,RE,1701042214
308,polyarnyy,69.1989,33.4478,1.92,95,57,5.06,RU,1701042214
309,tsiombe,-25.3,45.4833,70.97,96,0,4.74,MG,1701042215
310,bahia blanca,-38.7196,-62.2724,65.82,60,88,8.01,AR,1701042215
311,tobelo,1.7284,128.0095,82.17,80,72,4.18,ID,1701042215
312,toamasina,-18.1667,49.3833,71.6,94,40,0.0,MG,1701042215
313,vorkuta,67.5,64.0,-3.19,100,93,2.86,RU,1701042215
314,ulsteinvik,62.3432,5.8487,35.76,74,6,5.01,NO,1701042215
315,kolonia town,6.964,158.206,84.2,84,100,6.91,FM,1701042215
316,kayangel,8.0823,134.7173,84.02,76,98,15.1,PW,1701042215
317,bulgan,48.8125,103.5347,2.3,96,68,3.76,MN,1701042216
318,port douglas,-16.4833,145.4667,82.04,69,56,5.88,AU,1701042115
319,arteche,12.2645,125.4048,80.35,89,60,8.9,PH,1701042216
320,urbano santos,-3.2078,-43.4036,76.51,81,41,4.61,BR,1701042216
321,mili,6.0815,171.735,83.05,80,84,19.08,MH,1701042216
322,sao joao da barra,-21.6403,-41.0511,75.29,77,100,5.73,BR,1701042216
323,constitucion,-35.3333,-72.4167,56.52,87,57,7.14,CL,1701042216
324,zeya,53.75,127.2667,-4.97,73,6,4.7,RU,1701042217
325,quellon,-43.1167,-73.6167,50.52,74,100,6.38,CL,1701042217
326,hasaki,35.7333,140.8333,50.29,69,11,4.92,JP,1701042217
327,khovd,48.0056,91.6419,16.93,73,9,1.05,MN,1701042147
328,atafu village,-8.5421,-172.5159,86.11,74,96,15.1,TK,1701042055
329,luganville,-15.5333,167.1667,87.64,58,76,7.65,VU,1701042217
330,olyokminsk,60.3736,120.4264,-0.26,88,100,11.34,RU,1701042217
331,brookings,44.3114,-96.7984,21.2,69,0,13.8,US,1701042217
332,tazovsky,67.4667,78.7,-2.78,97,88,10.58,RU,1701042218
333,austin,30.2672,-97.7431,53.62,46,0,18.41,US,1701042166
334,midvagur,62.0511,-7.1939,38.23,87,75,6.91,FO,1701042218
335,naryshkino,52.9678,35.7268,27.05,94,100,21.65,RU,1701042218
336,katsuura,35.1333,140.3,54.61,72,0,3.11,JP,1701042061
337,sarangani,5.4033,125.4636,82.85,76,78,12.03,PH,1701042218
338,vysokiy,58.35,60.05,32.77,98,100,6.64,RU,1701042218
339,fort mcmurray,56.7268,-111.381,15.39,85,100,4.61,CA,1701042118
340,callao,-12.0667,-77.15,74.71,73,0,14.97,PE,1701042218
341,labuan,5.2767,115.2417,79.16,89,20,3.44,MY,1701042219
342,vylkove,45.4021,29.586,31.69,78,100,21.27,UA,1701042219
343,port lincoln,-34.7333,135.8667,62.83,69,100,17.0,AU,1701042219
344,panacan,9.2463,118.4082,82.08,81,78,4.9,PH,1701042219
345,sur,22.5667,59.5289,74.28,59,21,1.61,OM,1701042219
346,northam,51.0333,-4.2167,56.66,95,100,15.75,GB,1701042219
347,baranovichi,53.1327,26.0139,18.93,93,53,12.35,BY,1701042219
348,wynyard,-41.0,145.7167,51.22,89,100,7.29,AU,1701042219
349,las khorey,11.1595,48.1967,79.36,70,54,8.5,SO,1701042220
350,bereznehuvate,47.3078,32.8499,28.76,94,100,32.06,UA,1701042220
351,nadym,65.5333,72.5167,-1.57,100,94,6.31,RU,1701042220
352,qaqortoq,60.7167,-46.0333,19.76,92,100,5.75,GL,1701042220
353,saint-denis,48.9167,2.3333,42.96,78,100,12.66,FR,1701042220
354,andratx,39.5755,2.4202,56.62,78,93,11.32,ES,1701042220
355,corinth,37.9407,22.9573,49.89,47,2,8.32,GR,1701042182
356,robore,-18.3333,-59.75,81.66,63,74,2.44,BO,1701042221
357,bull savanna,17.8868,-77.5902,77.05,84,29,8.48,JM,1701042221
358,yulinshi,38.2906,109.7494,32.88,44,3,13.42,CN,1701042221
359,kruisfontein,-34.0033,24.7314,63.25,86,16,7.18,ZA,1701042221
360,dogondoutchi,13.6393,4.0287,78.21,63,100,8.99,NE,1701042221
361,jeremie,18.65,-74.1167,79.77,80,76,0.94,HT,1701042221
362,gizo,-8.103,156.8419,83.28,75,79,0.74,SB,1701042221
